site,treatment,camera_number,date,day,month,year,weather_conditions,wave_conditions,time_deployed,time_retrieved,latitude,longitude,predation,deployment_data_entered_by,deployment_data_checked_by,total_sec_observed,first_predator,bait_consumer,sec_to_approach,sec_to_predation,cama,casa,casp,hesa,liem,lipo,mysp,ople,ovoc,pasp,unknown_crab,taad,mosa,fusp,unknown_fish,sand,shell_debris,pebbles,cobble,small_boulder,medium_boulder,large_boulder,bedrock,kelp,filamentous_red_algae,large_folios_algae,other_algae,unknown_egg_case,unknown_cover,video_data_entered_by,notes
Bayside,Berm,766,6/13/2023,13,6,2023,clear,small_chop,1899-12-31T15:36:00Z,1899-12-31T16:43:00Z,42.323255,-71.04496,1,LD,AJ,3951,CAMA,CAMA,209.0,NA,7,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,60,0,0,0,0,0,0,0,0,0,0,40,LD,"Low visibility, difficult to see anything"
Bayside,Berm,11,6/13/2023,13,6,2023,clear,small_chop,1899-12-31T15:38:00Z,1899-12-31T16:42:00Z,42.323263,-71.045082,1,LD,AJ,3776,CAMA,CAMA,212.0,NA,5,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,4,84,0,0,0,0,0,0,0,0,0,0,12,LD,NA
Bayside,Berm,B05,6/13/2023,13,6,2023,clear,small_chop,1899-12-31T15:40:00Z,1899-12-31T16:41:00Z,42.321482,-71.04262,1,LD,AJ,1643,NOSP,NOSP,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,LD,No visibility
Bayside,Berm,980,6/13/2023,13,6,2023,clear,small_chop,1899-12-31T15:26:00Z,1899-12-31T16:40:00Z,42.323383,-71.045374,1,LD,AJ,2988,NOSP,NOSP,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,LD,No visibility
Bayside,Berm,6A,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:21:00Z,1899-12-31T14:27:00Z,42.324998,-71.045381,1,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,video data not usable
Bayside,Berm,11,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:23:00Z,1899-12-31T14:27:00Z,42.32336,-71.04549,1,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,video data not usable
Bayside,Berm,3A,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:24:00Z,1899-12-31T14:27:00Z,42.323342,-71.045365,1,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,video data not usable
Bayside,Berm,7A,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:24:00Z,1899-12-31T14:27:00Z,42.32326,-71.0452,1,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,video data not usable
Bayside,Berm,2A,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:24:00Z,1899-12-31T14:27:00Z,42.326453,-71.044536,1,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,video data not usable
Bayside,Control,101,6/13/2023,13,6,2023,clear,small_chop,1899-12-31T16:02:00Z,1899-12-31T17:09:00Z,42.321482,-71.042628,1,LD,AJ,3290,NOSP,NOSP,NA,NA,3,0,NA,0,0,0,NA,NA,0,0,0,0,NA,0,0,NA,3,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LD,"Visibility bad at beginning, gets a little better. Camera looks like it was pointing straight down, not at the squid"
Bayside,Control,102,6/13/2023,13,6,2023,clear,small_chop,1899-12-31T16:05:00Z,1899-12-31T17:09:00Z,42.322268,-71.043214,1,LD,AJ,3068,CAMA,CAMA,129.0,172.0,15,0,NA,0,0,0,NA,NA,0,0,0,0,NA,0,0,NA,4,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,LD,NA
Bayside,Control,103,6/13/2023,13,6,2023,clear,small_chop,1899-12-31T16:04:00Z,1899-12-31T17:11:00Z,42.32207,-71.04325,1,LD,AJ,3864,NOSP,NOSP,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,LD,"Poor visibility for first 20 minutes of video, not possible to see when bait was eaten"
Bayside,Control,1A,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:03:00Z,1899-12-31T14:10:00Z,42.321926,-71.042995,1,AJ,NA,4045,CAMA,CAMA,NA,840.0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,22.5,3.5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,AJ,Poor visibility. alternates between ok and very bad throughout video. Could not see when the first species interacted with the bait.
Bayside,Control,4A,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:03:00Z,1899-12-31T14:10:00Z,42.32196,-71.04307,1,AJ,NA,3964,CAMA,CAMA,113.0,998.0,42,NA,NA,NA,NA,NA,1,NA,NA,NA,10,NA,NA,NA,1,15,1,4.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,AJ,Poor visibility. Lots of wave action - crabs being thrown everywhere. Hard to count.
Bayside,Control,5A,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:05:00Z,1899-12-31T14:10:00Z,42.322036,-71.043116,1,AJ,NA,3941,CAMA,CAMA,40.0,2355.0,43,NA,NA,NA,NA,NA,NA,1,NA,NA,10,NA,NA,NA,1,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,AJ,poor visibility - hard to count. Visibility got worse as the tide came in.
Bayside,Control,15,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:08:00Z,1899-12-31T14:10:00Z,42.321168,-71.042999,1,AJ,NA,3845,CAMA,CAMA,340.0,2935.0,31,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,9,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,AJ,poor visibility that got progressively worse throughout
Bayside,Control,102,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:07:00Z,1899-12-31T14:10:00Z,42.321111,-71.042921,1,AJ,NA,3192,CAMA,CAMA,111.0,1668.0,18,NA,NA,2,NA,NA,NA,1,NA,NA,9,NA,NA,NA,NA,NA,NA,10,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,AJ,poor visibility - hard to count what is going on
