site,treatment,farms_number,latitudes_for,longitude,line_of_site,day_deployed,month_deployed,year_deployed,time_deployed,day_retrieved,month_retrieved,year_retrieved,time_retrieved,species_code,sex,fish_length_carapace_width_mm,entered_by,checked_by,x20
Bayside,Berm,FARMS_11,42.323412,-71.044838,"350 degrees to ornate lamppost, 0 degrees to far lightpole, 20 degrees to trap 9, 45 degrees to gazebo, 90 degrees to bathhouse",5,7,2023,1899-12-30T07:41:00Z,20,7,2023,1899-12-30T09:03:00Z,PHGU,NA,111,LD,AJ,NA
Bayside,Berm,FARMS_11,42.323412,-71.044838,"350 degrees to ornate lamppost, 0 degrees to far lightpole, 20 degrees to trap 9, 45 degrees to gazebo, 90 degrees to bathhouse",5,7,2023,1899-12-30T07:41:00Z,20,7,2023,1899-12-30T09:03:00Z,CAMA,F,17,LD,AJ,NA
Bayside,Berm,FARMS_11,42.323412,-71.044838,"350 degrees to ornate lamppost, 0 degrees to far lightpole, 20 degrees to trap 9, 45 degrees to gazebo, 90 degrees to bathhouse",5,7,2023,1899-12-30T07:41:00Z,20,7,2023,1899-12-30T09:03:00Z,CAMA,M,29,LD,AJ,NA
Bayside,Berm,FARMS_11,42.323412,-71.044838,"350 degrees to ornate lamppost, 0 degrees to far lightpole, 20 degrees to trap 9, 45 degrees to gazebo, 90 degrees to bathhouse",5,7,2023,1899-12-30T07:41:00Z,20,7,2023,1899-12-30T09:03:00Z,CAMA,M,14,LD,AJ,NA
Bayside,Berm,FARMS_11,42.323412,-71.044838,"350 degrees to ornate lamppost, 0 degrees to far lightpole, 20 degrees to trap 9, 45 degrees to gazebo, 90 degrees to bathhouse",5,7,2023,1899-12-30T07:41:00Z,20,7,2023,1899-12-30T09:03:00Z,CAMA,F,17,LD,AJ,NA
Bayside,Berm,FARMS_11,42.323412,-71.044838,"350 degrees to ornate lamppost, 0 degrees to far lightpole, 20 degrees to trap 9, 45 degrees to gazebo, 90 degrees to bathhouse",5,7,2023,1899-12-30T07:41:00Z,20,7,2023,1899-12-30T09:03:00Z,LILI,NA,NA,LD,AJ,NA
Bayside,Berm,FARMS_11,42.323412,-71.044838,"350 degrees to ornate lamppost, 0 degrees to far lightpole, 20 degrees to trap 9, 45 degrees to gazebo, 90 degrees to bathhouse",5,7,2023,1899-12-30T07:41:00Z,20,7,2023,1899-12-30T09:03:00Z,FPEN,NA,47,LD,AJ,NA
Bayside,Berm,FARMS_11,42.323412,-71.044838,"350 degrees to ornate lamppost, 0 degrees to far lightpole, 20 degrees to trap 9, 45 degrees to gazebo, 90 degrees to bathhouse",5,7,2023,1899-12-30T07:41:00Z,20,7,2023,1899-12-30T09:03:00Z,FPEN,E,53,LD,AJ,NA
Bayside,Berm,FARMS_11,42.323412,-71.044838,"350 degrees to ornate lamppost, 0 degrees to far lightpole, 20 degrees to trap 9, 45 degrees to gazebo, 90 degrees to bathhouse",5,7,2023,1899-12-30T07:41:00Z,20,7,2023,1899-12-30T09:03:00Z,FPEN,E,46,LD,AJ,NA
Bayside,Berm,FARMS_11,42.323412,-71.044838,"350 degrees to ornate lamppost, 0 degrees to far lightpole, 20 degrees to trap 9, 45 degrees to gazebo, 90 degrees to bathhouse",5,7,2023,1899-12-30T07:41:00Z,20,7,2023,1899-12-30T09:03:00Z,FPEN,NA,39,LD,AJ,NA
Bayside,Berm,FARMS_11,42.323412,-71.044838,"350 degrees to ornate lamppost, 0 degrees to far lightpole, 20 degrees to trap 9, 45 degrees to gazebo, 90 degrees to bathhouse",5,7,2023,1899-12-30T07:41:00Z,20,7,2023,1899-12-30T09:03:00Z,FPEN,NA,39,LD,AJ,NA
