kingdom,phylum,class,order,family,genus,species,aphia_id,classification_description,code,functional_group,common_name
-,-,-,-,-,-,-,-,No species/none present,NOSP,NA,NA
-,-,-,-,-,-,-,-,Unknown fleshy algal crust,UFAC,NA,NA
-,-,-,-,-,-,-,-,Unknown algae,UNAL,NA,NA
Animalia,-,-,-,-,-,-,-,unidentified worm,UNWO,NA,NA
Animalia,Annelida,Polychaeta,-,-,-,-,883,Unknown polychaete,UNPO,NA,NA
Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,imbricata,130769,Harmothoe imbricata,HAIM,NA,Fifteen-scaled worm
Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidonotus,-,129496,Lepidonotus sp.,LESP,NA,NA
Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Sabella,-,129549,Sabella sp.,SABW,NA,Sabellid worm
Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Hydroides,dianthus,131000,Hydroides dianthus,HYDI,NA,Serpulid
Animalia,Arthropoda,Malacostraca,Amphipoda,-,-,-,1135,Amphipod tube mat,AMTM,NA,NA
Animalia,Arthropoda,Malacostraca,Amphipoda,-,-,-,1135,Unknown gammarid amphipod,UGAA,NA,NA
Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,-,-,101361,Caprellid (skeleton) shrimp,CASH,NA,NA
Animalia,Arthropoda,Malacostraca,Decapoda,-,-,-,1130,Unknown crab,UCRA,NA,NA
Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,borealis,158056,Cancer borealis,CABO,NA,Jonah Crab
Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,irroratus,158057,Cancer irroratus,CAIR,NA,Atlantic Rock Crab
Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,-,106876,Cancer sp.,CASP,NA,NA
Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,maenas,107381,Carcinus maenas,CAMA,NA,Green Crab
Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Libnia,dubia,107335,Libinia dubia,LIDU,NA,NA
Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Libnia,emarginata,158426,Libinia emarginata,LIEM,NA,Portly Spider Crab
Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Libnia,-,106906,Libinia spp.,LIBS,NA,NA
Animalia,Arthropoda,Malacostraca,Decapoda,Hippidae,Emerita,talpoida,158393,Emerita talpoida,EMTA,NA,NA
Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,156134,Homarus americanus,HOAM,NA,American lobster
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,coarctatus,107323,Hyas coarctatus,HYCO,NA,Arctic Lyre or Toad Crab
Animalia,Arthropoda,Malacostraca,Decapoda,Ovalipidae,Ovalipes,ocellatus,158434,Ovalipes ocellatus,OVOC,NA,LadyCrab
Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,longicarpus,158403,Pagurus longicarpus,PALO,NA,NA
Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,-,106854,Pagurus sp.,PASP,NA,NA
Animalia,Arthropoda,Malacostraca,Decapoda,Panopeidae,Dyspanopeus,sayi,107412,Dyspanopeus sayi,DYSI,NA,NA
Animalia,Arthropoda,Malacostraca,Decapoda,Panopeidae,Eurypanopeus,depressus,158416,Eurypanopeus depressus,EUDE,NA,Flat mud crab
Animalia,Arthropoda,Malacostraca,Decapoda,Panopeidae,Hexapanopeus,angustifrons,158424,Hexapanopeus angustifrons,HEAN,NA,Smooth mud crab
Animalia,Arthropoda,Malacostraca,Decapoda,Panopeidae,Panopeus,herbstii,158436,Panopeus herbstii,PAHE,NA,Mud Crab
Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,-,-,106727,Penaeid shrimp,FPEN,NA,NA
Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,sapidus,107379,Callinectes sapidus,CASA,NA,Blue Crab
Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,sanguineus,158417,Hemigrapsus sanguineus,HESA,NA,NA
Animalia,Arthropoda,Merostomata,Xiphosurida,Limulidae,Limulus,polyphemus,150514,Limulus polyphemus,LIPO,NA,Horseshoe crab
Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,balanoides,106210,Semibalanus balanoides,SEBA,NA,acorn barnacles
Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,fragilis,157793,Cthamalus fragilis,CTHA,NA,NA
Animalia,Bryozoa,-,-,-,-,-,146142,Unidentified Arborescent Bryozoans,UBAR,NA,NA
Animalia,Bryozoa,-,-,-,-,-,146142,Unidentified encrusting bryozoan,UBEN,NA,NA
Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bitectiporidae,Schizomavella,auriculata,862786,Schizomavella auriculata,SCAU,NA,single horn bryzoan
Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,neritina,111158,Bugula neritina,BUNE,NA,NA
Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,-,110839,Bugula sp.,BUSP,NA,NA
Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Crisularia,turrita,834044,Crisularia turrita,CRTU,NA,spiral tufted bryozoan
Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Dendrobeania,murrayana,111174,Dendrobeania murrayana,DEMU,NA,fan bryozoan
Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,Caberea,ellisii,111230,Caberea ellisii,CAEL,NA,NA
Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,Tricellaria,inopinata,111254,Tricellaria inopinata,TRIN,NA,NA
Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,pilosa,111355,Electra pilosa,ELPI,NA,hairy sea mat
Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,membranacea,111411,Membranipora membranacea,MEMA,NA,sea lace
Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella,unicornis,111538,Schizoporella unicornis,SCUN,NA,single horn bryzoan
Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,-,111022,Amathia spp. (gracilis or imbricata),AMSP,NA,NA
Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Crisiidae,Crisia,eburnea,111696,Crisia eburnea,CREB,NA,tufted ivory corraline
Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Lichenoporidae,Patinella,verrucaria,146845,Patinella verrucaria,PAVE,NA,NA
Animalia,Chordata,Ascidiacea,-,-,-,-,1839,Unknown Ascidian Colonial,UASC,NA,NA
Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,albidum,103560,Didemnum albidum,DIAL,NA,northern white crust
Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,candidum,146902,Didemnum candidum,DICA,NA,NA
Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,vexillum,250126,Didemnum vexillum,DIVE,NA,tunicate
Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Diplosoma,listerianum,103579,Diplosoma listerianum,DIPL,NA,colonial tunicate
Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,constellatum,251553,Aplidium constellatum,APCO,NA,NA
