site,treatment,quadrat,height,latitude,longitude,day,month,year,slope,aspect,substrate,relief,observer,species_code,square,measurement,measurement_type,entered_by,checked_by,season
Coughlin,Berm,1,Low,42.36307,70.975645,26,10,2023,-7,300,Mud,Flat,Laura + Anh,AHPL,4,0.1,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,1,Low,42.36307,70.975645,26,10,2023,-7,300,Mud,Flat,Laura + Anh,AHPL,6,0.1,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,1,Low,42.36307,70.975645,26,10,2023,-7,300,Mud,Flat,Laura + Anh,AHPL,16,2,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,1,Low,42.36307,70.975645,26,10,2023,-7,300,Mud,Flat,Laura + Anh,AHPL,19,0.1,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,1,Low,42.36307,70.975645,26,10,2023,-7,300,Mud,Flat,Laura + Anh,AHPL,20,0.1,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,1,Mid,42.363017,70.975621,26,10,2023,-3,295,Mud,Flat,Laura,AHPL,12,0.5,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,2,Low,42.363137,70.975671,26,10,2023,-2,296,Mud,Flat,Laura,AHPL,15,1,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,2,Mid,42.363079,70.975588,26,10,2023,-3,295,Mud,Flat,Laura,AHPL,13,1,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,2,Mid,42.363079,70.975588,26,10,2023,-3,295,Mud,Flat,Laura,AHPL,16,0.5,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,2,Mid,42.363079,70.975588,26,10,2023,-3,295,Mud,Flat,Laura,AHPL,17,2,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,3,Low,42.363179,70.975608,26,10,2023,-3,295,Mud,Low,liana + Anh,AHPL,25,0.1,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,4,High,42.363112,70.975353,26,10,2023,-3,295,Mud,Flat,Liana + Anh,AHPL,1,0.1,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,4,Low,42.363271,70.975568,26,10,2023,-3,295,Mud,Low,Liana + Anh,AHPL,14,1,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,4,Low,42.363271,70.975568,26,10,2023,-3,295,Mud,Low,Liana + Anh,AHPL,22,0.1,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Control,4,Mid,42.361356,70.975897,NA,NA,NA,NA,NA,NA,NA,NA,AHPL,14,0.5,Percent Cover,Colette Carter,CTC IKC,fall_23
Coughlin,Control,4,Mid,42.361356,70.975897,NA,NA,NA,NA,NA,NA,NA,NA,AHPL,19,1,Percent Cover,Colette Carter,CTC IKC,fall_23
Coughlin,Control,4,Mid,42.361356,70.975897,NA,NA,NA,NA,NA,NA,NA,NA,AHPL,20,0.1,Percent Cover,Colette Carter,CTC IKC,fall_23
Coughlin,Control,5,Low,42.361453,70.976142,31,10,2023,-2,268,Sand,Low,Laura,AHPL,21,1,Percent Cover,Colette Carter,CTC IKC,fall_23
Coughlin,Control,5,Mid,42.361503,70.975881,NA,NA,NA,NA,NA,NA,NA,NA,AHPL,19,1,Percent Cover,Colette Carter,CTC IKC,fall_23
Coughlin,Control,6,Low,42.361445,70.976022,31,10,2023,-2,268,Sand,NA,Laura,AHPL,3,0.5,Percent Cover,Colette Carter,CTC IKC,fall_23
Coughlin,Control,6,Low,42.361445,70.976022,31,10,2023,-2,268,Sand,NA,Laura,AHPL,4,0.5,Percent Cover,Colette Carter,CTC IKC,fall_23
Coughlin,Control,6,Low,42.361445,70.976022,31,10,2023,-2,268,Sand,NA,Laura,AHPL,16,2,Percent Cover,Colette Carter,CTC IKC,fall_23
