site,treatment,quadrat,height,latitude,longitude,day,month,year,slope,aspect,substrate,relief,observer,species_code,square,measurement,measurement_type,entered_by,checked_by,season
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,FUVE,1,1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,FUVE,2,1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,FUVE,4,1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,FUVE,6,4,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,FUVE,7,3,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,FUVE,11,2,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,FUVE,12,0.1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,1,0.1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,2,0.1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,3,1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,4,1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,5,1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,6,0.1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,7,1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,8,0.1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,9,0.1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,11,1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,12,1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,13,0.1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,14,1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,15,0.1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,16,0.1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,17,0.1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,18,0.1,Percent Cover,Colette Carter,CTC BJM,summer_24
Bayside,Berm,1,High,42.323225,71.045164,6,6,2024,6,40,Cobble,Low,CRM,SEBA,19,1,Percent Cover,Colette Carter,CTC BJM,summer_24
