site,treatment,time,day,month,year,start_latitude,start_longitude,end_latitude,end_longitude,estimated_depth_pole_1_m,estimated_depth_pole_2_m,width_net_aperture_m,distance_walked_m,observer,weather,wave_conditions,species_code,sex,fish_length_carapace_width_mm,entered_by,checked_by
Coughlin,Berm,,6,7,2023,42.36315,-70.97566,42.36277,-70.97581,0.4,0.3,7.3,46,"CRM, AJ, ML, LD",clear,flat,CAMA,F,,ML,LD
Coughlin,Berm,,6,7,2023,42.36315,-70.97566,42.36277,-70.97581,0.4,0.3,7.3,46,"CRM, AJ, ML, LD",clear,flat,CAMA,F,,ML,LD
Coughlin,Berm,,6,7,2023,42.36315,-70.97566,42.36277,-70.97581,0.4,0.3,7.3,46,"CRM, AJ, ML, LD",clear,flat,CAMA,M,,ML,LD
Coughlin,Berm,,6,7,2023,42.36315,-70.97566,42.36277,-70.97581,0.4,0.3,7.3,46,"CRM, AJ, ML, LD",clear,flat,CAMA,M,,ML,LD
Coughlin,Berm,,6,7,2023,42.36315,-70.97566,42.36277,-70.97581,0.4,0.3,7.3,46,"CRM, AJ, ML, LD",clear,flat,CAMA,M,,ML,LD
Coughlin,Berm,,6,7,2023,42.36315,-70.97566,42.36277,-70.97581,0.4,0.3,7.3,46,"CRM, AJ, ML, LD",clear,flat,CAMA,F,,ML,LD
Coughlin,Berm,,6,7,2023,42.36315,-70.97566,42.36277,-70.97581,0.4,0.3,7.3,46,"CRM, AJ, ML, LD",clear,flat,CAMA,M,,ML,LD
Coughlin,Berm,,6,7,2023,42.36315,-70.97566,42.36277,-70.97581,0.4,0.3,7.3,46,"CRM, AJ, ML, LD",clear,flat,CAMA,M,,ML,LD
Coughlin,Berm,,6,7,2023,42.36315,-70.97566,42.36277,-70.97581,0.4,0.3,7.3,46,"CRM, AJ, ML, LD",clear,flat,CAMA,M,,ML,LD
Coughlin,Berm,,6,7,2023,42.36315,-70.97566,42.36277,-70.97581,0.4,0.3,7.3,46,"CRM, AJ, ML, LD",clear,flat,CAMA,F,,ML,LD
Coughlin,Berm,,6,7,2023,42.36315,-70.97566,42.36277,-70.97581,0.4,0.3,7.3,46,"CRM, AJ, ML, LD",clear,flat,CAMA,M,,ML,LD
Coughlin,Berm,,6,7,2023,42.36315,-70.97566,42.36277,-70.97581,0.4,0.3,7.3,46,"CRM, AJ, ML, LD",clear,flat,CAMA,F,,ML,LD
Coughlin,Berm,,6,7,2023,42.36315,-70.97566,42.36277,-70.97581,0.4,0.3,7.3,46,"CRM, AJ, ML, LD",clear,flat,CAMA,F,,ML,LD
